               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.012196,            0.011755,           0.0050767,             0.91456,             0.96237,             0.97173,             0.70612,           0.0051379,           0.0039425,           0.0015171,            0.004852,            0.004852,            0.004852
                  80,            0.013983,            0.012161,           0.0059832,             0.88405,             0.84666,             0.94354,             0.70417,           0.0051079,           0.0039216,            0.002417,            0.004786,            0.004786,            0.004786
                  81,            0.012158,            0.012255,           0.0049307,             0.95254,             0.89353,             0.97687,             0.72681,           0.0057328,           0.0037051,           0.0017086,             0.00472,             0.00472,             0.00472
                  82,            0.012851,            0.012236,           0.0061834,             0.93261,             0.94606,             0.97985,             0.75151,             0.00536,           0.0036822,           0.0015171,            0.004654,            0.004654,            0.004654
                  83,            0.013303,             0.01113,           0.0043245,             0.98052,             0.93942,             0.97814,             0.73903,           0.0051841,           0.0035963,          0.00099163,            0.004588,            0.004588,            0.004588
                  84,            0.013093,            0.011595,           0.0078767,             0.95992,             0.92383,             0.98629,             0.74973,            0.004867,            0.003664,          0.00086441,            0.004522,            0.004522,            0.004522
                  85,            0.011925,             0.01134,           0.0038216,              0.9714,             0.92235,             0.98629,             0.74141,           0.0050519,           0.0036373,          0.00085487,            0.004456,            0.004456,            0.004456
                  86,            0.014302,            0.011779,           0.0055366,             0.96581,             0.89283,             0.97802,             0.76382,           0.0050365,            0.003644,           0.0013567,             0.00439,             0.00439,             0.00439
                  87,            0.013381,              0.0117,           0.0061336,             0.94842,               0.925,             0.98417,             0.74209,           0.0052731,           0.0036945,           0.0011837,            0.004324,            0.004324,            0.004324
                  88,             0.01235,            0.011378,           0.0038857,             0.89543,             0.98612,             0.98629,             0.74203,           0.0051235,           0.0036602,          0.00078773,            0.004258,            0.004258,            0.004258
                  89,            0.012364,            0.012324,           0.0048398,             0.92988,             0.93741,              0.9825,             0.67753,           0.0056684,           0.0039788,          0.00087471,            0.004192,            0.004192,            0.004192
                  90,            0.012505,            0.011461,            0.003965,             0.90549,             0.94849,              0.9775,              0.6678,           0.0062249,           0.0041199,           0.0011869,            0.004126,            0.004126,            0.004126
                  91,            0.012634,            0.011821,           0.0047327,             0.91856,             0.94764,             0.97756,             0.68207,           0.0057366,            0.004035,           0.0011723,             0.00406,             0.00406,             0.00406
                  92,            0.013405,            0.011839,           0.0066024,             0.92493,             0.94878,             0.97846,             0.74893,           0.0061686,            0.003685,          0.00099297,            0.003994,            0.003994,            0.003994
                  93,            0.012786,            0.011365,           0.0047632,             0.91336,             0.95658,             0.98629,             0.73627,           0.0052934,           0.0035858,          0.00086517,            0.003928,            0.003928,            0.003928
                  94,            0.011836,            0.011467,           0.0038379,             0.91893,             0.99076,             0.99045,             0.75688,           0.0052612,           0.0035877,            0.000811,            0.003862,            0.003862,            0.003862
                  95,            0.012663,            0.012418,           0.0065963,             0.91606,             0.98957,             0.98818,             0.74632,           0.0049459,           0.0036173,           0.0010023,            0.003796,            0.003796,            0.003796
                  96,            0.011114,            0.010862,           0.0051029,             0.93837,             0.94281,             0.98629,             0.71414,           0.0050229,           0.0038376,          0.00078773,             0.00373,             0.00373,             0.00373
                  97,            0.014612,            0.010938,           0.0047228,             0.94867,             0.95814,             0.98331,             0.72654,           0.0052175,           0.0039063,           0.0007822,            0.003664,            0.003664,            0.003664
                  98,            0.014119,            0.011116,           0.0047947,             0.91743,              0.9365,             0.97635,             0.72055,           0.0049794,           0.0038481,           0.0018444,            0.003598,            0.003598,            0.003598
                  99,            0.011237,            0.011147,           0.0050671,             0.90702,                0.95,             0.98417,             0.72174,           0.0051416,           0.0038748,           0.0010187,            0.003532,            0.003532,            0.003532
                 100,            0.012734,            0.011659,           0.0072841,             0.90967,                0.95,             0.98006,             0.73285,           0.0047387,           0.0037842,           0.0010101,            0.003466,            0.003466,            0.003466
                 101,            0.013217,            0.011321,           0.0054147,             0.95451,             0.95238,             0.98629,             0.72896,           0.0051765,            0.003726,           0.0010361,              0.0034,              0.0034,              0.0034
                 102,            0.010071,            0.010875,           0.0032443,             0.93929,              0.9421,             0.98506,             0.72707,           0.0057382,           0.0039778,           0.0013264,            0.003334,            0.003334,            0.003334
                 103,            0.011686,            0.012196,           0.0048308,             0.89466,             0.96885,             0.97756,             0.72468,           0.0055696,           0.0039024,           0.0013715,            0.003268,            0.003268,            0.003268
                 104,            0.011747,            0.011124,           0.0038441,             0.90889,                0.95,             0.97619,             0.71886,           0.0052701,           0.0039845,           0.0011505,            0.003202,            0.003202,            0.003202
                 105,            0.010627,            0.010922,           0.0062587,             0.90847,             0.96604,             0.98469,             0.71713,           0.0054955,           0.0039825,          0.00093575,            0.003136,            0.003136,            0.003136
                 106,            0.012165,            0.010933,            0.005746,             0.91814,             0.98987,             0.98591,             0.72328,           0.0053731,           0.0040655,          0.00066891,             0.00307,             0.00307,             0.00307
                 107,            0.011523,            0.011464,           0.0051599,             0.91556,             0.98613,             0.98364,              0.7356,           0.0050218,           0.0039358,           0.0010506,            0.003004,            0.003004,            0.003004
                 108,            0.010632,             0.01135,           0.0032215,             0.88099,             0.96482,             0.97694,             0.72712,           0.0050975,            0.003811,           0.0017479,            0.002938,            0.002938,            0.002938
                 109,            0.013709,            0.012212,           0.0041421,             0.97115,             0.87117,             0.97694,             0.73041,           0.0048339,           0.0039692,           0.0023232,            0.002872,            0.002872,            0.002872
                 110,            0.011444,            0.011154,           0.0034569,             0.89661,              0.9525,             0.98356,             0.72574,           0.0045764,           0.0038949,           0.0024731,            0.002806,            0.002806,            0.002806
                 111,            0.012823,            0.012101,           0.0047555,             0.89476,             0.97228,             0.98591,             0.74728,           0.0047683,           0.0037899,           0.0021564,             0.00274,             0.00274,             0.00274
